tier,chart,chartId,p1,p1nc,p2,p2nc,file_taps,file_ticks,judged,video,channel,era,footage,how,two_sided,side,p2_video,notes,title
A,God Mode feat. skizzo S4,17B221E5-0AED-4684-A913-5C96B364731C,S4,208,S4,,210,0,208,https://youtu.be/DB6hN86sfCM,NEVSISTER,PHOENIX,chart-video,searched,Y,Left,,,[PUMP IT UP PHOENIX] God Mode feat.skizzo S4 & S13 (pre S5 -> S4 / Phoenix Modified ver.)
A,Set me up S10,291A467A-A22D-4B8E-B9C2-4C85A4A24B66,S10,274,S10,274,276,0,274,https://youtu.be/Ii5LlE3aznY,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] Set me up(셋 미 업) S10 & S14 (pre S9 & S13 / Phoenix Modified ver.)
A,Slam S5,9CAE8667-6BF8-47CA-816A-60E5EC80DCA3,S5,192,S5,,193,0,192,https://youtu.be/txKtdvCPj8Q,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] Slam(슬램) S5 & S7 (pre S3 & S6 / Phoenix Modified ver.)
B,Final Audition 2 - SHORT CUT - D19,5E8AC77F-B37F-4ABF-9CBB-AA9F0CC30182,D19,901,D19,,313,0,901,https://youtu.be/GDF4ndpdI30,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Final Audition 2 - SHORT CUT - D19 (pre D18 → D19 / Phoenix Modified ver.)
B,Beethoven Virus D21,A5CA5AB4-DE62-4C9E-B28C-3E205FBF0D53,D21,1000,D22,1000,495,0,1000,https://youtu.be/yOnV7_FDmq8,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate D22,"[PUMP IT UP PHOENIX] Beethoven Virus (베토벤 바이러스) D22 (PNX1 D21, PRIME2 D20)"
B,Slam D22,81A0EC37-CCA3-4DDA-A825-5D5166D2B2BA,D22,1000,D22,1000,506,0,1000,https://youtu.be/IG4XNqxVU4g,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Slam(슬램) D22 (pre D21 → D22 / Phoenix Modified ver.)
B,Bee S17,78B9EA74-0347-4A9B-8E69-2966535ECDDF,S17,830,S17,830,442,0,830,https://youtu.be/5xJTDl3a67s,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Bee(비) S17 (pre S16 → S17 / Phoenix Modified ver.)
B,Gun Rock D24,C35E33C1-F572-450C-A696-DB12FC09721A,D24,1000,D24,1000,528,0,1000,https://youtu.be/hlinRNR4O44,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Gun Rock(건 락) D24 (Phoenix Modified ver.)
B,Love is a Danger Zone S17,263E807F-F5C3-4958-8003-AA73C6E66004,S17,790,S17,790,432,0,790,https://youtu.be/4_clp3QK814,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] Love is a Danger Zone S17 & S20 (PNX S19)
B,Vook D21,A7716543-AF58-4873-A82A-A252AA52D8C0,D21,1032,D22,1032,574,0,1032,https://youtu.be/f0Syr_zdY_0,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate D22,"[PUMP IT UP PHOENIX] Vook (부크) D22 (PNX1 D21, XX D19, PRIME2 D18)"
